id_precio;id_clinica;id_prestacion;valor
1;1;1;55000
2;1;4;70000
3;1;5;40000
4;1;8;90000
5;1;9;45000
6;1;10;75000
7;1;12;50000
8;1;15;25000
9;1;17;45000
10;1;18;35000
11;1;19;25000
12;1;21;35000
13;1;22;25000
14;1;23;25000
15;1;24;55000
16;1;26;80000
17;1;28;75000
18;1;30;50000
19;1;31;25000
20;1;34;30000
21;1;35;30000
22;1;36;50000
23;1;39;60000
24;1;40;80000
25;1;43;75000
26;1;44;45000
27;1;49;45000
28;1;54;45000
29;1;55;40000
30;1;56;75000
31;1;60;30000
32;1;69;75000
33;1;3;45000
34;1;51;45000
35;1;47;40000
36;1;70;75000
37;1;50;30000
38;1;6;75000
39;2;1;85000
40;2;2;35000
41;2;3;55000
42;2;5;60000
43;2;7;35000
44;2;10;80000
45;2;11;40000
46;2;14;35000
47;2;15;85000
48;2;16;45000
49;2;18;90000
50;2;22;25000
51;2;24;50000
52;2;25;80000
53;2;26;50000
54;2;28;65000
55;2;31;90000
56;2;33;90000
57;2;35;50000
58;2;36;55000
59;2;37;70000
60;2;38;80000
61;2;41;40000
62;2;43;75000
63;2;44;60000
64;2;45;70000
65;2;46;25000
66;2;50;45000
67;2;52;35000
68;2;54;60000
69;2;57;80000
70;2;65;25000
71;2;66;30000
72;2;67;30000
73;2;68;85000
74;2;69;75000
75;3;4;45000
76;3;5;40000
77;3;6;25000
78;3;9;35000
79;3;11;80000
80;3;14;75000
81;3;15;60000
82;3;18;35000
83;3;20;85000
84;3;23;65000
85;3;30;80000
86;3;31;35000
87;3;32;35000
88;3;33;40000
89;3;37;85000
90;3;42;65000
91;3;43;80000
92;3;49;35000
93;3;53;35000
94;3;55;55000
95;3;56;80000
96;3;57;90000
97;3;61;65000
98;3;67;40000
99;3;70;65000
100;4;4;25000
101;4;5;45000
102;4;7;85000
103;4;8;85000
104;4;9;45000
105;4;11;80000
106;4;15;65000
107;4;17;90000
108;4;20;65000
109;4;21;55000
110;4;24;40000
111;4;26;30000
112;4;33;25000
113;4;39;35000
114;4;40;55000
115;4;44;35000
116;4;45;55000
117;4;46;90000
118;4;48;55000
119;4;50;30000
120;4;51;35000
121;4;52;25000
122;4;58;50000
123;4;59;35000
124;4;61;25000
125;4;67;45000
126;4;68;80000
127;4;69;45000
128;5;1;75000
129;5;2;30000
130;5;3;40000
131;5;5;85000
132;5;9;85000
133;5;10;70000
134;5;11;90000
135;5;13;50000
136;5;14;75000
137;5;17;55000
138;5;18;45000
139;5;19;70000
140;5;21;35000
