id_precio;id_clinica;id_especialidad;id_prestacion;valor
1;1;1;1;55000
2;1;1;4;70000
3;1;1;5;40000
4;1;2;8;90000
5;1;2;9;45000
6;1;2;10;75000
7;1;3;12;50000
8;1;3;15;25000
9;1;4;17;45000
10;1;4;18;35000
11;1;4;19;25000
12;1;5;21;35000
13;1;5;22;25000
14;1;5;23;25000
15;1;5;24;55000
16;1;6;26;80000
17;1;6;28;75000
18;1;6;30;50000
19;1;7;31;25000
20;1;7;34;30000
21;1;7;35;30000
22;1;8;36;50000
23;1;8;39;60000
24;1;8;40;80000
25;1;9;43;75000
26;1;9;44;45000
27;1;10;49;45000
28;1;11;54;45000
29;1;11;55;40000
30;1;12;56;75000
31;1;12;60;30000
32;1;14;69;75000
33;1;1;3;45000
34;1;11;51;45000
35;1;10;47;40000
36;1;14;70;75000
37;1;10;50;30000
38;1;2;6;75000
39;2;1;1;85000
40;2;1;2;35000
41;2;1;3;55000
42;2;1;5;60000
43;2;2;7;35000
44;2;2;10;80000
45;2;3;11;40000
46;2;3;14;35000
47;2;3;15;85000
48;2;4;16;45000
49;2;4;18;90000
50;2;5;22;25000
51;2;5;24;50000
52;2;5;25;80000
53;2;6;26;50000
54;2;6;28;65000
55;2;7;31;90000
56;2;7;33;90000
57;2;7;35;50000
58;2;8;36;55000
59;2;8;37;70000
60;2;8;38;80000
61;2;9;41;40000
62;2;9;43;75000
63;2;9;44;60000
64;2;9;45;70000
65;2;10;46;25000
66;2;10;50;45000
67;2;11;52;35000
68;2;11;54;60000
69;2;12;57;80000
70;2;13;65;25000
71;2;14;66;30000
72;2;14;67;30000
73;2;14;68;85000
74;2;14;69;75000
75;3;1;4;45000
76;3;1;5;40000
77;3;2;6;25000
78;3;2;9;35000
79;3;3;11;80000
80;3;3;14;75000
81;3;3;15;60000
82;3;4;18;35000
83;3;4;20;85000
84;3;5;23;65000
85;3;6;30;80000
86;3;7;31;35000
87;3;7;32;35000
88;3;7;33;40000
89;3;8;37;85000
90;3;9;42;65000
91;3;9;43;80000
92;3;10;49;35000
93;3;11;53;35000
94;3;11;55;55000
95;3;12;56;80000
96;3;12;57;90000
97;3;13;61;65000
98;3;14;67;40000
99;3;14;70;65000
100;4;1;4;25000
101;4;1;5;45000
102;4;2;7;85000
103;4;2;8;85000
104;4;2;9;45000
105;4;3;11;80000
106;4;3;15;65000
107;4;4;17;90000
108;4;4;20;65000
109;4;5;21;55000
110;4;5;24;40000
111;4;6;26;30000
112;4;7;33;25000
113;4;8;39;35000
114;4;8;40;55000
115;4;9;44;35000
116;4;9;45;55000
117;4;10;46;90000
118;4;10;48;55000
119;4;10;50;30000
120;4;11;51;35000
121;4;11;52;25000
122;4;12;58;50000
123;4;12;59;35000
124;4;13;61;25000
125;4;14;67;45000
126;4;14;68;80000
127;4;14;69;45000
128;5;1;1;75000
129;5;1;2;30000
130;5;1;3;40000
131;5;1;5;85000
132;5;2;9;85000
133;5;2;10;70000
134;5;3;11;90000
135;5;3;13;50000
136;5;3;14;75000
137;5;4;17;55000
138;5;4;18;45000
139;5;4;19;70000
140;5;5;21;35000
141;5;5;22;25000
142;5;5;23;35000
143;5;6;27;75000
144;5;6;30;35000
145;5;7;31;65000
146;5;7;32;50000
147;5;7;33;50000
148;5;8;37;30000
149;5;10;50;55000
150;5;12;57;60000
151;5;12;58;30000
152;5;13;63;35000
153;5;14;68;80000
154;5;14;70;55000
155;6;1;2;60000
156;6;1;4;35000
157;6;1;5;35000
158;6;2;6;45000
159;6;2;8;80000
160;6;2;9;75000
161;6;3;13;30000
162;6;3;14;30000
163;6;4;17;45000
164;6;4;19;90000
165;6;5;25;30000
166;6;6;29;80000
167;6;7;35;70000
168;6;8;36;85000
169;6;8;38;35000
170;6;9;41;40000
171;6;9;44;35000
172;6;9;45;50000
173;6;10;47;65000
174;6;11;52;35000
175;6;11;55;65000
176;6;12;57;25000
177;6;13;61;80000
178;6;13;63;80000
179;6;14;66;45000
180;6;14;67;75000
181;6;14;70;45000
182;7;1;1;55000
183;7;1;2;25000
184;7;1;4;70000
185;7;3;13;55000
186;7;3;15;35000
187;7;4;19;75000
188;7;4;20;45000
189;7;5;22;45000
190;7;5;23;65000
191;7;7;31;30000
192;7;7;34;70000
193;7;8;40;90000
194;7;9;43;70000
195;7;10;49;65000
196;7;11;55;40000
197;7;12;59;45000
198;7;13;62;70000
199;7;13;63;55000
200;7;14;66;35000
201;7;14;69;25000
202;7;14;70;55000
203;8;1;1;35000
