Raza,Origen,Tamaño,Grupo FCI
Labrador Retriever,Reino Unido,Grande,Grupo 8
Pastor Alemán,Alemania,Grande,Grupo 1
Golden Retriever,Reino Unido,Grande,Grupo 8
Beagle,Reino Unido,Mediano,Grupo 6
Bulldog Francés,Francia,Pequeño,Grupo 9
Caniche,Francia,Grande,Mediano,Pequeño,Grupo 9
Chihuahua,México,Miniatura,Grupo 9
Yorkshire Terrier,Reino Unido,Miniatura,Grupo 3
Rottweiler,Alemania,Grande,Grupo 2
Dachshund (Teckel),Alemania,Mediano,Pequeño,Grupo 4
Shih Tzu,Tíbet,Pequeño,Grupo 9
Cocker Spaniel Inglés,Reino Unido,Mediano,Grupo 8
Boxer,Alemania,Grande,Grupo 2
Bichón Maltés,Malta,Miniatura,Grupo 9
Border Collie,Reino Unido,Mediano,Grupo 1
Husky Siberiano,Siberia,Grande,Grupo 5
Akita Inu,Japón,Grande,Grupo 5
Gran Danés,Alemania,Gigante,Grupo 2
San Bernardo,Suiza,Gigante,Grupo 2
Basset Hound,Reino Unido,Mediano,Grupo 6
