id_clinica;id_veterinario;estado;cantidad_especialidades;especialidades
1;15;1;1;3,0,0
1;18;1;2;6,2,0
1;22;1;2;10,1,0
1;1;1;2;10,1,0
1;2;1;2;10,1,0
1;16;1;2;10,1,0
1;17;1;2;10,1,0
1;29;1;2;10,1,0
1;30;1;2;10,1,0
2;28;1;2;4,5,0
2;12;1;2;2,8,0
2;22;1;1;3,0,0
3;23;1;1;9,0,0
3;27;1;1;2,0,0
3;15;1;1;2,0,0
4;19;1;2;7,4,0
4;21;1;1;12,0,0
4;14;1;2;4,1,0
5;3;1;3;9,4,12
5;25;1;2;4,8,0
5;6;1;1;5,0,0
6;18;1;2;9,12,0
6;31;1;2;13,14,0
6;26;1;3;5,2,7
7;22;1;3;12,2,10
7;31;1;3;5,7,10
7;19;1;2;6,11,0
8;12;1;1;8,0,0
8;21;1;2;4,11,0
8;8;1;1;2,0,0
9;31;1;1;5,0,0
9;12;1;1;10,0,0
9;4;1;1;8,0,0
10;21;1;1;9,0,0
10;11;1;1;12,0,0
10;25;1;2;8,3,0
11;13;1;3;14,4,2
11;22;1;2;2,3,0
11;22;1;2;14,11,0
12;19;1;1;3,0,0
12;3;1;3;6,1,9
12;11;1;1;14,0,0
13;27;1;2;11,2,0
13;8;1;3;14,9,2
13;23;1;3;12,1,8
14;32;1;1;3,0,0
14;5;1;1;6,0,0
14;19;1;1;13,0,0
15;20;1;2;11,1,0
15;3;1;1;2,0,0
15;24;1;1;13,0,0
16;22;1;3;10,9,5
16;7;1;1;1,0,0
16;33;1;1;6,0,0
17;14;1;3;3,5,12
17;28;1;1;9,0,0
17;3;1;3;3,6,9
18;19;1;1;10,0,0
18;10;1;2;2,13,0
18;21;1;1;3,0,0
19;24;1;1;12,0,0
19;4;1;1;11,0,0
19;33;1;2;5,4,0
20;4;1;3;8,13,2
20;11;1;1;2,0,0
20;9;1;3;6,10,13
