id_reserva_vacuna;id_reserva;id_vacuna
1;1;4
2;2;3
3;3;1
4;4;2
5;5;3
6;6;1
7;7;3
8;8;2
9;9;2
10;10;3
11;12;2
12;13;4
13;14;4
14;15;2
15;16;2
16;17;4
17;18;3
18;19;2
19;21;3
20;22;2
21;23;1
22;24;4
23;25;3
24;26;2
25;27;3
26;28;2
27;29;2
28;30;3
29;31;4
30;32;1
31;33;4
32;34;1
33;35;4
34;36;1
35;37;1
36;38;4
37;39;3
38;40;1
39;41;1
40;42;4
41;43;2
42;44;4
43;45;4
44;46;3
45;47;2
46;48;4
47;49;3
48;50;4
49;51;1
50;52;2
51;53;3
52;54;1
53;55;2
54;56;3
55;57;4
56;58;1
57;59;2
58;60;1
59;61;3
60;62;1
61;63;2
62;64;4
63;65;3
64;66;2
65;67;1
66;68;3
67;69;2
68;70;3
69;71;1
70;72;4
71;73;3
72;74;1
73;75;2
74;76;2
75;77;4
76;78;3
77;79;1
78;80;3
79;81;1
80;82;3
81;83;3
82;84;3
83;85;4
84;86;3
85;87;1
86;88;2
87;89;1
88;90;4
89;91;1
90;92;1
91;93;4
92;94;1
93;95;4
94;96;4
95;97;2
96;98;3
97;99;2
98;100;2
99;101;4
100;102;3
101;103;4
102;104;3
103;105;2
104;106;1
105;107;4
106;108;2
107;109;2
108;110;4
109;111;4
110;112;4
111;113;1
112;114;4
113;115;1
114;116;3
115;117;3
116;118;3
117;119;1
