id_vet_especialidad;id_veterinario;id_prestacion;id_especialidad;nombres;apellidos;sexo;especialidad;id_clinica;nombre_clinica;direccion;n_calificaciones;calificacion;latitud;longitud;dpa;valor
1;1;13;3;Oscar Orlando;Aburto Bravo;MASCULINO;Cirugía;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
2;1;67;14;Oscar Orlando;Aburto Bravo;MASCULINO;Nutrición natural;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;75000
3;1;39;8;Oscar Orlando;Aburto Bravo;MASCULINO;Radiología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;50000
4;1;39;8;Oscar Orlando;Aburto Bravo;MASCULINO;Radiología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;50000
5;1;18;4;Oscar Orlando;Aburto Bravo;MASCULINO;Dermatología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
6;1;44;9;Oscar Orlando;Aburto Bravo;MASCULINO;Nutrición animal;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;45000
7;2;32;7;Mario Oscar;Acevedo Sánchez;MASCULINO;Oncología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
8;2;66;14;Mario Oscar;Acevedo Sánchez;MASCULINO;Nutrición natural;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;75000
9;2;52;11;Mario Oscar;Acevedo Sánchez;MASCULINO;Etología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;40000
10;2;56;12;Mario Oscar;Acevedo Sánchez;MASCULINO;Gastroenterología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;30000
11;2;54;11;Mario Oscar;Acevedo Sánchez;MASCULINO;Etología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;40000
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;70000
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;40000
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;15;Clínica 15;Huérfanos 2653;12;3,5;-33.4418933;-70.6727172;13101;45000
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;25000
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;25000
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;0
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;15;Clínica 15;Huérfanos 2653;12;3,5;-33.4418933;-70.6727172;13101;35000
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;30000
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;50000
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;35000
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;15;Clínica 15;Huérfanos 2653;12;3,5;-33.4418933;-70.6727172;13101;25000
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;40000
15;4;60;12;Ennio Aldo;Aguirre Ducler;MASCULINO;Gastroenterología;9;Clínica 9;Huérfanos 2653;16;3,3;-33.4418933;-70.6727172;13101;75000
15;4;60;12;Ennio Aldo;Aguirre Ducler;MASCULINO;Gastroenterología;19;Clínica 19;Huérfanos 2653;42;2,9;-33.4418933;-70.6727172;13101;25000
15;4;60;12;Ennio Aldo;Aguirre Ducler;MASCULINO;Gastroenterología;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;45000
16;4;7;2;Ennio Aldo;Aguirre Ducler;MASCULINO;Urgencias veterinarias;9;Clínica 9;Huérfanos 2653;16;3,3;-33.4418933;-70.6727172;13101;55000
16;4;7;2;Ennio Aldo;Aguirre Ducler;MASCULINO;Urgencias veterinarias;19;Clínica 19;Huérfanos 2653;42;2,9;-33.4418933;-70.6727172;13101;55000
16;4;7;2;Ennio Aldo;Aguirre Ducler;MASCULINO;Urgencias veterinarias;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;30000
17;4;66;14;Ennio Aldo;Aguirre Ducler;MASCULINO;Nutrición natural;9;Clínica 9;Huérfanos 2653;16;3,3;-33.4418933;-70.6727172;13101;60000
17;4;66;14;Ennio Aldo;Aguirre Ducler;MASCULINO;Nutrición natural;19;Clínica 19;Huérfanos 2653;42;2,9;-33.4418933;-70.6727172;13101;30000
17;4;66;14;Ennio Aldo;Aguirre Ducler;MASCULINO;Nutrición natural;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;70000
18;4;13;3;Ennio Aldo;Aguirre Ducler;MASCULINO;Cirugía;9;Clínica 9;Huérfanos 2653;16;3,3;-33.4418933;-70.6727172;13101;45000
