id_vet_especialidad;id_veterinario;id_prestacion;id_especialidad
1;1;13;3
2;1;67;14
3;1;39;8
4;1;39;8
5;1;18;4
6;1;44;9
7;2;32;7
8;2;66;14
9;2;52;11
10;2;56;12
11;2;54;11
12;3;9;2
13;3;25;5
14;3;31;7
15;4;60;12
16;4;7;2
17;4;66;14
18;4;13;3
19;5;17;4
20;5;45;9
21;5;66;14
22;5;18;4
23;5;31;7
24;5;70;14
25;6;67;14
26;6;14;3
27;6;33;7
28;6;10;2
29;6;20;4
30;6;8;2
31;6;53;11
32;6;63;13
33;7;43;9
34;7;34;7
35;8;65;13
36;9;56;12
37;10;61;13
38;10;38;8
39;10;29;6
40;11;23;5
41;11;12;3
42;11;35;7
43;11;53;11
44;11;41;9
45;11;32;7
46;11;29;6
47;11;5;1
48;12;24;5
49;13;59;12
50;13;53;11
51;13;45;9
52;13;6;2
53;13;43;9
54;13;28;6
55;13;36;8
56;13;47;10
57;14;69;14
58;14;24;5
59;14;29;6
60;14;41;9
61;14;28;6
62;14;18;4
63;14;69;14
64;15;3;1
65;15;30;6
66;15;51;11
67;15;47;10
68;15;70;14
69;15;49;10
70;15;50;10
71;15;6;2
72;16;28;6
73;16;20;4
74;16;20;4
75;16;53;11
76;17;68;14
77;17;17;4
78;17;16;4
79;17;63;13
80;17;3;1
81;17;34;7
82;17;13;3
83;17;13;3
84;17;36;8
85;18;60;12
86;18;51;11
87;18;13;3
88;18;67;14
89;19;28;6
90;19;18;4
91;19;20;4
92;19;28;6
93;19;48;10
94;19;10;2
95;20;65;13
96;20;23;5
97;20;12;3
98;20;43;9
99;20;16;4
100;20;30;6
101;21;32;7
102;21;40;8
103;21;2;1
104;21;37;8
105;21;62;13
106;21;30;6
107;21;32;7
108;21;7;2
109;21;16;4
110;22;60;12
111;22;68;14
112;22;48;10
113;22;66;14
114;22;38;8
115;22;3;1
116;23;33;7
117;23;16;4
118;23;46;10
119;23;2;1
120;23;55;11
121;24;3;1
122;24;58;12
123;24;52;11
124;24;70;14
125;24;70;14
126;24;34;7
127;24;23;5
128;24;56;12
129;24;21;5
130;25;69;14
131;25;33;7
132;25;5;1
133;25;34;7
134;25;61;13
135;26;48;10
136;26;31;7
137;26;40;8
138;26;57;12
139;26;19;4
140;26;1;1
141;26;15;3
142;26;26;6
143;26;69;14
144;27;65;13
145;27;58;12
146;27;25;5
147;27;51;11
148;28;16;4
149;28;19;4
150;28;36;8
151;28;13;3
152;28;57;12
153;29;47;10
154;29;59;12
155;30;42;9
156;31;17;4
157;31;41;9
158;31;53;11
159;32;9;2
160;32;45;9
161;33;52;11
162;33;57;12
163;33;48;10
164;33;11;3
165;33;17;4
166;33;20;4
